step,loss,m1,m2,L1,L2
1,1.1112378643155767,1.3636457522196144,1.509256545180429,1.2177438288619693,1.1582332208555055
2,0.8027886822071564,1.3675609740521544,1.5057190580419682,1.195536202010047,1.1709383689706385
3,0.4090266376749018,1.3737674137161993,1.500098735895477,1.1565981327984467,1.191396319081047
4,0.12991566581650513,1.3805314273438098,1.4939614520552749,1.1081132080737233,1.2142801195236161
5,0.030033924910747415,1.3868441750540401,1.488229854713072,1.057616747273819,1.2360365521006165
6,0.06557477362715963,1.3925214374593742,1.483075340796324,1.0112093328681415,1.255286107121058
7,0.16369427114504692,1.397810606189124,1.4782676137466053,0.972888181916537,1.2719868045472131
8,0.265408672382013,1.403038531390247,1.4734984399046542,0.9447812154111505,1.2865883868639352
9,0.33553885472657236,1.408445335994522,1.468538064148357,0.9276286341226947,1.29957462487405
10,0.35985219350608993,1.4141432912336411,1.4632759334864176,0.9212013112322507,1.3112935587868395
11,0.3396923279675581,1.420128917608347,1.457711340522186,0.9245868200604518,1.3219284570358434
12,0.28680334844747646,1.4263102205878508,1.45192944452987,0.9363778793313913,1.3315237941528295
13,0.21832085977041155,1.4325363150290187,1.4460745135993123,0.9548135267552703,1.3400301811311977
14,0.1519073696110927,1.438627479811433,1.4403219616512632,0.9779053548709579,1.347355530105004
15,0.10148645627135494,1.4444051944813157,1.4348493463722298,1.003567320356796,1.3534153502169797
16,0.07436558664733124,1.4497192889456605,1.4298090811320798,1.0297574477781712,1.3581736028236693
17,0.07053246243572307,1.4544670940328714,1.4253082080525625,1.054623202292755,1.3616651421074837
18,0.08421775024835643,1.4586002726237741,1.4214001292310123,1.0766264876970546,1.3639950993071406
19,0.10680651131417797,1.4621189796420948,1.418089276495358,1.094623471341477,1.3653182055023694
20,0.12975034992495588,1.4650574459268484,1.415344969637539,1.1078896436084482,1.3658074528532997
21,0.14655248516476976,1.467467144482518,1.4131182659180956,1.116098936461246,1.3656231691766523
22,0.1536248743399534,1.4694027799082663,1.411356290670047,1.1192755619367418,1.3648907072834322
23,0.1502799231412532,1.4709138494718834,1.4100110159669246,1.117736249552107,1.363690280324761
24,0.13820630920615345,1.4720420907377711,1.4090419988528946,1.11203349376928,1.3620585089402375
25,0.12067606884276444,1.4728235213107392,1.4084143318587634,1.102902805241197,1.3599988508444631
26,0.10162836011220569,1.4732929968449997,1.408093936166124,1.0912119575653614,1.3574969833102513
27,0.08474870270142888,1.4734890507215876,1.4080425405915051,1.0779086859308298,1.3545369612263949
28,0.07268887783555462,1.4734571063547979,1.4082143636326,1.0639647378976695,1.3511144189391167
29,0.06658709484642636,1.473249897704097,1.4085557311044392,1.050317323228364,1.347244224319779
30,0.06599772188740309,1.4729249241543767,1.409007808165908,1.0378121415118016,1.3429616719269686
31,0.0692254278760758,1.4725396971786964,1.4095116357753,1.0271537525224403,1.3383180691827326
32,0.07393408480328884,1.472146102329518,1.4100140679649111,1.0188684778577144,1.3333728658342812
33,0.07782988617086765,1.47178526938957,1.4104731452322914,1.0132828240840865,1.3281849524513714
34,0.07922666872143352,1.4714840122593804,1.4108618010566436,1.0105178059749687,1.3228054332721348
35,0.07736872374585835,1.4712533919854565,1.4111693394638796,1.0104975761136712,1.3172733671290537
36,0.07247251398210926,1.4710894719435013,1.41140062782053,1.012969828478553,1.3116150248431873
37,0.06552302471659607,1.4709759686098736,1.4115733237156127,1.0175353307350343,1.3058463738358423
38,0.05791017683821282,1.4708882567876786,1.4117137011211596,1.0236841916184296,1.2999778676171447
39,0.051014292580177346,1.470798035848337,1.4118517939199242,1.0308366779335947,1.2940202096033133
40,0.04584845425619266,1.4706778959852524,1.4120166442834883,1.0383863571106084,1.2879895977987548
41,0.04284139129742534,1.4705050653795515,1.4122324024527626,1.045743090730906,1.2819110823948523
42,0.04180175235424497,1.4702637991762366,1.4125158404552012,1.0523731539556995,1.2758191090210913
43,0.04205349460388375,1.46994618030406,1.4128755218465598,1.0578337523559522,1.2697550244330915
44,0.042687085634188854,1.4695514724581507,1.4133124828016876,1.0617995781834604,1.263762128483581
45,0.042845058194222116,1.4690844871233981,1.413821942658347,1.06407973120783,1.257879532647636
46,0.04195897539671062,1.4685535944516224,1.4143953856896747,1.0646241363313247,1.2521364119471607
47,0.03987589699533988,1.4679689704534313,1.4150223952483505,1.0635193437666188,1.246548100893029
48,0.036848567198774024,1.4673414549927843,1.4156918501198492,1.0609742415339056,1.2411149268963424
49,0.03340488322880548,1.4666820866485333,1.4163924154486607,1.0572968146194828,1.2358238808140174
50,0.030147654422534097,1.466002100789731,1.417112551746011,1.052863747733645,1.230652457287336
51,0.027554364401610715,1.4653130274852004,1.4178404198679715,1.0480853875227056,1.2255735067593518
52,0.025841639530431927,1.4646265495874815,1.4185640333794438,1.0433692013365217,1.220559868071751
53,0.024931847409249665,1.4639539482897321,1.4192718352174296,1.0390851571105557,1.2155878730590464
54,0.024520642733293112,1.4633051879665862,1.4199536429669277,1.0355362326976019,1.210639362360226
55,0.024210000928965726,1.462687876674535,1.4206017174775414,1.0329365553826064,1.20570239160801
56,0.023653779897512033,1.4621064177840564,1.4212116299372373,1.0313986664994599,1.2007711489714739
57,0.02266594071828178,1.4615616281845454,1.421782645729474,1.0309303666567027,1.19584566848418
58,0.021260600214288137,1.461050968882063,1.4223174779253365,1.0314407278165838,1.190931741717048
59,0.01961913097345385,1.4605693644074866,1.4228214374248767,1.0327542303068367,1.1860411085527116
60,0.018003650830566206,1.4601104285424924,1.4233011691193487,1.0346315471622471,1.1811916754766465
61,0.016651881372931752,1.4596678065454678,1.423763272350381,1.0367951553156,1.1764072859777714
62,0.01569182990258364,1.4592363165958184,1.4242131308884922,1.03895762862962,1.1717165390701922
63,0.0151054353257658,1.458812636392294,1.4246542118580465,1.040850160599038,1.1671503524240456
64,0.014751056250833477,1.4583954209225816,1.4250879488574721,1.0422486525075958,1.1627383561118414
65,0.01443188632665286,1.457984912343758,1.4255141451833937,1.0429947086695275,1.1585046606376872
66,0.013979708913111854,1.4575822512492171,1.4259316815662615,1.0430092170173253,1.1544638940365413
67,0.013318499117012807,1.4571887631460763,1.4263392475846162,1.0422969109391427,1.150618485717206
68,0.012482907219713178,1.4568054505656716,1.426735861261974,1.0409413619561991,1.1469579223608557
69,0.011588011630874136,1.4564327947579436,1.4271210713186948,1.0390910976651242,1.1434601898254382
70,0.010768637746055755,1.4560708248848553,1.4274948859368486,1.03693875424258,1.1400950399874148
71,0.010118363369996124,1.4557193155274426,1.4278575707637728,1.0346961121817608,1.1368283036802491
72,0.009655025870892611,1.455377962084495,1.4282094698564503,1.0325683307388986,1.1336263466852647
73,0.0093242394926376,1.4550464473159406,1.4285509378996148,1.030730611481573,1.1304599276471863
