sparsity,spectral_radius,prediction_horizon_lya,rmse
0.05,0.7,0.45300000000000007,1.7011026856765927e+25
0.05,0.75,0.4892400000000001,1.1031100382025712e+26
0.05,0.8,0.5436000000000001,7.793889036571217e+23
0.05,0.8500000000000001,0.5073600000000001,1.2123735359590544e+24
0.05,0.9000000000000001,0.4892400000000001,9.50442064969286e+23
0.05,0.9500000000000002,0.4892400000000001,2.377790872344603e+20
0.05,1.0000000000000002,0.4711200000000001,2.5247885776991835e+21
0.05,1.0500000000000003,0.4892400000000001,9.902785652298934e+21
0.1,0.7,0.38052,12.215471503749642
0.1,0.75,0.38052,12.334347491884714
0.1,0.8,0.38052,12.2389254777479
0.1,0.8500000000000001,0.38052,12.229528790379604
0.1,0.9000000000000001,0.38052,12.186347078452147
0.1,0.9500000000000002,0.38052,11.600624707976632
0.1,1.0000000000000002,0.38052,11.455522990507868
0.1,1.0500000000000003,0.38052,11.408549561921992
0.15000000000000002,0.7,0.4892400000000001,12.231099720931953
0.15000000000000002,0.75,0.4892400000000001,12.07451222635352
0.15000000000000002,0.8,0.5073600000000001,23298.46323430904
0.15000000000000002,0.8500000000000001,0.5254800000000001,11.370638857868375
0.15000000000000002,0.9000000000000001,0.5436000000000001,11.214711652333902
0.15000000000000002,0.9500000000000002,0.5617200000000001,11.558604381234868
0.15000000000000002,1.0000000000000002,0.5617200000000001,11.315229366792513
0.15000000000000002,1.0500000000000003,0.9422400000000002,11.156061606102249
0.2,0.7,0.43488000000000004,8057.305080369515
0.2,0.75,0.43488000000000004,41.846695128725436
0.2,0.8,0.4167600000000001,313.67475992649184
0.2,0.8500000000000001,0.4167600000000001,35.78556148165333
0.2,0.9000000000000001,0.43488000000000004,9.962341175943436
0.2,0.9500000000000002,0.45300000000000007,1983.6078882612694
0.2,1.0000000000000002,0.4711200000000001,3432.7831017102008
0.2,1.0500000000000003,0.4892400000000001,1230.0703580550996
0.25,0.7,0.4711200000000001,6.678826273693379e+25
0.25,0.75,0.4711200000000001,1.9896173332511745e+27
0.25,0.8,0.4711200000000001,1.4664258750211631e+29
0.25,0.8500000000000001,0.4711200000000001,7.746496778850855e+29
0.25,0.9000000000000001,0.4711200000000001,1.467868537522286e+27
0.25,0.9500000000000002,0.4711200000000001,11.340850933137554
0.25,1.0000000000000002,0.4711200000000001,7.902609216657762e+30
0.25,1.0500000000000003,0.4711200000000001,5.225080863793063e+33
0.30000000000000004,0.7,0.67044,11.396974310388718
0.30000000000000004,0.75,0.6885600000000001,118420491730.63782
0.30000000000000004,0.8,0.6885600000000001,10.448345106376744
0.30000000000000004,0.8500000000000001,0.5798400000000001,7595673712856.472
0.30000000000000004,0.9000000000000001,0.5436000000000001,16823445316942.709
0.30000000000000004,0.9500000000000002,0.5436000000000001,9.57396771433484
0.30000000000000004,1.0000000000000002,0.4711200000000001,229703529371051.5
0.30000000000000004,1.0500000000000003,0.43488000000000004,11.170244252013813
0.35000000000000003,0.7,0.32616,1.2822354268596428e+25
0.35000000000000003,0.75,0.32616,1.2358905861554039e+27
0.35000000000000003,0.8,0.32616,5956778809361.076
0.35000000000000003,0.8500000000000001,0.34428000000000003,8.198936690317923e+24
0.35000000000000003,0.9000000000000001,0.38052,11.575264663350792
0.35000000000000003,0.9500000000000002,0.4167600000000001,12.051609053395557
0.35000000000000003,1.0000000000000002,0.4167600000000001,13.244426288461357
0.35000000000000003,1.0500000000000003,0.4167600000000001,12.127020684894084
0.4,0.7,0.4167600000000001,3.0845438924334924e+20
0.4,0.75,0.43488000000000004,5.574929699617038e+19
0.4,0.8,0.5073600000000001,2.4854708041876813e+20
0.4,0.8500000000000001,0.5436000000000001,1.2363113020912287e+18
0.4,0.9000000000000001,0.4711200000000001,7.202311615487803e+19
0.4,0.9500000000000002,0.43488000000000004,5.001878164283377e+20
0.4,1.0000000000000002,0.4167600000000001,1.4519599637846066e+21
0.4,1.0500000000000003,0.4167600000000001,1.94040206335718e+21
