epoch,loss_with,loss_without
1,2.850021440662185,0.2686942554872648
2,2.8275061252103884,0.2683286569332145
3,2.8030110307008123,0.2679522350993592
4,2.77933738658209,0.2675692109843877
5,2.7529143128105487,0.26717427374917646
6,2.726852608188712,0.2667646225393814
7,2.70000363848428,0.26634461749498717
8,2.673781699367157,0.26591291025500685
9,2.6453123002578924,0.26546829148538414
10,2.6162256588248805,0.265010595499019
11,2.587151855862066,0.2645326156348762
12,2.5573333628489325,0.2640433978955045
13,2.526030676437234,0.2635320240756605
14,2.494658581558214,0.2630031813792197
15,2.463254215568397,0.26244118951437767
16,2.4288027030385915,0.26184415933417937
17,2.3931988601557586,0.26120234651852603
18,2.3552356816720876,0.26050696427483383
19,2.3156439846692383,0.25974304649276125
20,2.274363842631891,0.25888517265101557
21,2.2266166388970374,0.2578986538613861
22,2.175053730974345,0.2567303556435138
23,2.116193694780092,0.2552709537832598
24,2.040327547284774,0.2532994897272553
25,1.9397574431524267,0.25030060823184447
26,1.7738630820093304,0.24385118013809085
27,1.0364253098499538,0.1770208016394603
28,0.5550860319019849,0.12729355814378743
29,0.479741654220017,0.12286087949433348
30,0.4049062940587151,0.11674827379466185
